Target noise PSNR: 30
Actual noisy PSNR (clipped, blurred vs noisy): 30.6948
K_est (const): 3.335000e-02
Adaptive Wiener PSNR: 25.6235
K_constant,PSNR_constant(dB)
1.000000e-06,3.803964
1.743329e-06,3.874049
3.039195e-06,3.975936
5.298317e-06,4.125131
9.236709e-06,4.345702
1.610262e-05,4.676685
2.807216e-05,5.180992
4.893901e-05,5.962070
8.531679e-05,7.184470
1.487352e-04,9.056655
2.592944e-04,11.659908
3.335000e-04,13.005899
4.520354e-04,14.678160
6.438877e-04,16.616139
7.880463e-04,17.702754
1.243153e-03,20.060006
1.373824e-03,20.552776
2.395027e-03,23.050903
2.400152e-03,23.059511
4.175319e-03,24.934384
4.633968e-03,25.197271
7.278954e-03,25.977174
8.946791e-03,26.149701
1.268961e-02,26.227532
1.727355e-02,26.128947
2.212216e-02,25.973674
3.335000e-02,25.623479
3.856620e-02,25.480985
6.438877e-02,24.922757
6.723358e-02,24.871710
1.172102e-01,24.141455
1.243153e-01,24.054004
2.043360e-01,23.208390
2.400152e-01,22.887803
3.562248e-01,22.000985
4.633968e-01,21.343177
6.210169e-01,20.573992
8.946791e-01,19.610955
1.082637e+00,19.127190
1.727355e+00,18.055597
1.887392e+00,17.875034
3.290345e+00,16.925642
3.335000e+00,16.906505
5.736153e+00,16.273475
1.000000e+01,15.854981
