Target noise PSNR: 20
Actual noisy PSNR (clipped, blurred vs noisy): 21.7140
K_est (const): 3.335000e-01
Adaptive Wiener PSNR: 22.1477
K_constant,PSNR_constant(dB)
1.000000e-06,3.668106
1.743329e-06,3.689207
3.039195e-06,3.720058
5.298317e-06,3.765014
9.236709e-06,3.829146
1.610262e-05,3.923008
2.807216e-05,4.061166
4.893901e-05,4.268001
8.531679e-05,4.582859
1.487352e-04,5.073992
2.592944e-04,5.858566
4.520354e-04,7.130350
7.880463e-04,9.138635
1.373824e-03,11.962494
2.395027e-03,15.165045
3.335000e-03,17.037309
4.175319e-03,18.257316
6.438877e-03,20.431599
7.278954e-03,20.991482
1.243152e-02,23.041342
1.268961e-02,23.105230
2.212216e-02,24.364856
2.400152e-02,24.474450
3.856620e-02,24.782452
4.633967e-02,24.775717
6.723358e-02,24.603603
8.946790e-02,24.357316
1.172102e-01,24.047163
1.727355e-01,23.474155
2.043360e-01,23.177742
3.335000e-01,22.147711
3.562248e-01,21.991816
6.210169e-01,20.571481
6.438877e-01,20.475544
1.082637e+00,19.126538
1.243152e+00,18.790615
1.887392e+00,17.874868
2.400152e+00,17.425503
3.290345e+00,16.925608
4.633967e+00,16.492143
5.736153e+00,16.273461
8.946790e+00,15.923659
1.000000e+01,15.854984
1.727355e+01,15.601375
3.335000e+01,15.426103
